96,	crush,		sstring__AutoCor,		96,	None,		2200000000
1,	bigcrush,	smarsa__SerialOver,		1,	None,		4200000000
2,	bigcrush,	smarsa__SerialOver,		2,	None,		4200000000
3,	bigcrush,	smarsa__CollisionOver,		3,	None,		2600000000
4,	bigcrush,	smarsa__CollisionOver,		4,	None,		2600000000
5,	bigcrush,	smarsa__CollisionOver,		5,	None,		2600000000
6,	bigcrush,	smarsa__CollisionOver,		6,	None,		2600000000
7,	bigcrush,	smarsa__CollisionOver,		7,	None,		2600000000
8,	bigcrush,	smarsa__CollisionOver,		8,	None,		2600000000
9,	bigcrush,	smarsa__CollisionOver,		9,	None,		2600000000
10,	bigcrush,	smarsa__CollisionOver,		10,	None,		2600000000
11,	bigcrush,	smarsa__CollisionOver,		11,	None,		2600000000
12,	bigcrush,	smarsa__CollisionOver,		12,	None,		2600000000
13,	bigcrush,	smarsa__BirthdaySpacings,	13,	None,		8200000000
14,	bigcrush,	smarsa__BirthdaySpacings,	14,	None,		5000000000
15,	bigcrush,	smarsa__BirthdaySpacings,	15,	None,		9800000000
16,	bigcrush,	smarsa__BirthdaySpacings,	16,	None,		13000000000
17,	bigcrush,	smarsa__BirthdaySpacings,	17,	None,		13000000000
18,	bigcrush,	smarsa__BirthdaySpacings,	18,	None,		21000000000
19,	bigcrush,	smarsa__BirthdaySpacings,	19,	None,		21000000000
20,	bigcrush,	smarsa__BirthdaySpacings,	20,	None,		40000000000
21,	bigcrush,	smarsa__BirthdaySpacings,	21,	None,		40000000000
22,	bigcrush,	snpair__ClosePairs,		22,	None,		2300000000
23,	bigcrush,	snpair__ClosePairs,		23,	None,		1800000000
24,	bigcrush,	snpair__ClosePairs,		24,	None,		1200000000
25,	bigcrush,	snpair__ClosePairs,		25,	None,		670000000
26,	bigcrush,	sknuth__SimpPoker,		26,	None,		14000000000
27,	bigcrush,	sknuth__SimpPoker,		27,	None,		14000000000
28,	bigcrush,	sknuth__SimpPoker,		28,	None,		14000000000
29,	bigcrush,	sknuth__SimpPoker,		29,	None,		14000000000
30,	bigcrush,	sknuth__CouponCollector,	30,	None,		19000000000
31,	bigcrush,	sknuth__CouponCollector,	31,	None,		19000000000
32,	bigcrush,	sknuth__CouponCollector,	32,	None,		19000000000
33,	bigcrush,	sknuth__CouponCollector,	33,	None,		19000000000
34,	bigcrush,	sknuth__Gap,			34,	None,		34000000000
35,	bigcrush,	sknuth__Gap,			35,	None,		40000000000
36,	bigcrush,	sknuth__Gap,			36,	None,		53000000000
37,	bigcrush,	sknuth__Gap,			37,	None,		42000000000
38,	bigcrush,	sknuth__Run,			38,	None,		22000000000
39,	bigcrush,	sknuth__Run,			39,	None,		42000000000
40,	bigcrush,	sknuth__Permutation,		40,	None,		14000000000
41,	bigcrush,	sknuth__Permutation,		41,	None,		22000000000
42,	bigcrush,	sknuth__Permutation,		42,	None,		16000000000
43,	bigcrush,	sknuth__Permutation,		43,	None,		22000000000
44,	bigcrush,	sknuth__CollisionPermut,	44,	None,		24000000000
45,	bigcrush,	sknuth__CollisionPermut,	45,	None,		24000000000
46,	bigcrush,	sknuth__MaxOft,			46,	None,		14000000000
47,	bigcrush,	sknuth__MaxOft,			47,	None,		21000000000
48,	bigcrush,	sknuth__MaxOft,			48,	None,		21000000000
